chunk,position,token,token_id,word,p_keep,kept
0,0,[CLS],101,,0.000829,
0,1,Interview,27781,Interviewer,0.784008,1
0,2,##er,10165,Interviewer,0.718636,1
0,3,:,131,:,0.222353,0
0,4,Thank,91327,Thanks,0.798292,1
0,5,##s,10107,Thanks,0.850812,1
0,6,for,10142,for,0.764353,1
0,7,making,14293,making,0.429949,1
0,8,the,10105,the,0.018737,0
0,9,time,10635,time,0.821431,1
0,10,today,18745,today,0.881601,1
0,11,.,119,.,0.068034,1
0,12,Could,59865,Could,0.004439,0
0,13,you,13028,you,0.011271,0
0,14,start,15148,start,0.358369,1
0,15,by,10155,by,0.163099,0
0,16,telling,61758,telling,0.478026,1
0,17,me,10911,me,0.458304,1
0,18,a,169,a,0.033752,0
0,19,little,16745,little,0.050297,0
0,20,about,10978,about,0.451733,1
0,21,what,12976,what,0.411329,1
0,22,you,13028,you,0.230216,0
0,23,do,10149,do,0.342141,1
0,24,at,10160,at,0.371351,1
0,25,the,10105,the,0.009548,0
0,26,hospital,18141,hospital,0.959824,1
0,27,?,136,?,0.803082,1
0,28,[NEW0],119547,"
",0.363412,1
0,29,Dr,11612,Dr,0.493953,1
0,30,.,119,.,0.370124,1
0,31,Ok,84591,Okafor,0.571256,1
0,32,##af,19402,Okafor,0.594395,1
0,33,##or,10667,Okafor,0.562968,1
0,34,:,131,:,0.191006,0
0,35,Of,12610,Of,0.009293,0
0,36,course,15348,course,0.003425,0
0,37,.,119,.,0.047554,1
0,38,I,146,I,0.264266,0
0,39,',112,',0.152301,0
0,40,m,181,m,0.178358,0
0,41,a,169,a,0.074819,0
0,42,pa,10931,paediatric,0.999343,1
0,43,##edia,51373,paediatric,0.999492,1
0,44,##tric,45463,paediatric,0.999444,1
0,45,resp,52812,respiratory,0.998272,1
0,46,##irat,56610,respiratory,0.998651,1
0,47,##ory,21493,respiratory,0.997125,1
0,48,consultant,64935,consultant,0.993778,1
0,49,",",117,",",0.007019,1
0,50,so,10380,so,0.000338,0
0,51,I,146,I,0.005098,0
0,52,look,25157,look,0.852029,1
0,53,after,10662,after,0.894435,1
0,54,children,12694,children,0.962322,1
0,55,with,10169,with,0.645072,1
0,56,as,10146,asthma,0.997215,1
0,57,##th,11143,asthma,0.997447,1
0,58,##ma,10369,asthma,0.997573,1
0,59,",",117,",",0.019104,1
0,60,c,171,cystic,0.994718,1
0,61,##yst,62769,cystic,0.993874,1
0,62,##ic,11130,cystic,0.982131,1
0,63,fi,14045,fibrosis,0.993595,1
0,64,##bros,87690,fibrosis,0.993686,1
0,65,##is,10291,fibrosis,0.993235,1
0,66,",",117,",",0.008008,1
0,67,and,10111,and,0.004828,0
0,68,a,169,a,0.002203,0
0,69,long,11695,long,0.252549,0
0,70,tail,48497,tail,0.297543,1
0,71,of,10108,of,0.279299,1
0,72,rare,23902,rarer,0.956445,1
0,73,##r,10129,rarer,0.944075,1
0,74,conditions,17315,conditions,0.952640,1
0,75,.,119,.,0.456164,1
0,76,About,16260,About,0.043681,0
0,77,half,13877,half,0.959306,1
0,78,my,15127,my,0.354589,1
0,79,week,16118,week,0.986001,1
0,80,is,10124,is,0.359311,1
0,81,c,171,clinic,0.985504,1
0,82,##lini,27542,clinic,0.986875,1
0,83,##c,10350,clinic,0.989836,1
0,84,",",117,",",0.034943,1
0,85,the,10105,the,0.001013,0
0,86,rest,17333,rest,0.861034,1
0,87,is,10124,is,0.263372,0
0,88,ward,60026,ward,0.966071,1
0,89,rounds,44759,rounds,0.967376,1
0,90,",",117,",",0.138392,1
0,91,teaching,27291,teaching,0.981330,1
0,92,",",117,",",0.034952,1
0,93,and,10111,and,0.015060,0
0,94,",",117,",",0.004520,0
0,95,un,10119,unfortunately,0.002654,0
0,96,##fort,23044,unfortunately,0.005949,0
0,97,##una,14212,unfortunately,0.004948,0
0,98,##tely,100102,unfortunately,0.003357,0
0,99,",",117,",",0.003597,0
0,100,quite,31324,quite,0.013766,0
0,101,a,169,a,0.021226,0
0,102,lot,19826,lot,0.128994,0
0,103,of,10108,of,0.075922,0
0,104,paper,17895,paperwork,0.982347,1
0,105,##work,37382,paperwork,0.986827,1
0,106,.,119,.,0.120549,1
0,107,[NEW0],119547,"
",0.246119,1
0,108,Interview,27781,Interviewer,0.168680,0
0,109,##er,10165,Interviewer,0.153325,0
0,110,:,131,:,0.057180,0
0,111,You,11065,You,0.026677,0
0,112,mentioned,24909,mentioned,0.755215,1
0,113,paper,17895,paperwork,0.819710,1
0,114,##work,37382,paperwork,0.822085,1
0,115,.,119,.,0.212768,1
0,116,How,14962,How,0.323932,1
0,117,much,13172,much,0.287518,1
0,118,of,10108,of,0.074026,0
0,119,your,20442,your,0.103681,0
0,120,day,11940,day,0.729090,1
0,121,goes,25441,goes,0.303020,1
0,122,into,10708,into,0.245715,0
0,123,it,10271,it,0.193589,0
0,124,?,136,?,0.829090,1
0,125,[NEW0],119547,"
",0.265726,1
0,126,Dr,11612,Dr,0.255680,0
0,127,.,119,.,0.155486,1
0,128,Ok,84591,Okafor,0.241774,0
0,129,##af,19402,Okafor,0.266934,0
0,130,##or,10667,Okafor,0.231717,0
0,131,:,131,:,0.095028,0
0,132,Hon,19431,Honestly,0.081131,0
0,133,##est,13051,Honestly,0.062495,0
0,134,##ly,10454,Honestly,0.077624,0
0,135,?,136,?,0.288348,1
0,136,Two,13214,Two,0.934941,1
0,137,to,10114,to,0.911916,1
0,138,three,11003,three,0.973548,1
0,139,hours,19573,hours,0.979028,1
0,140,.,119,.,0.117298,1
0,141,Disc,51462,Discharge,0.948165,1
0,142,##harge,92555,Discharge,0.913251,1
0,143,sum,28439,summaries,0.928835,1
0,144,##marie,99235,summaries,0.913240,1
0,145,##s,10107,summaries,0.914963,1
0,146,are,10301,are,0.064375,0
0,147,the,10105,the,0.003521,0
0,148,worst,62006,worst,0.886793,1
0,149,offen,84646,offender,0.864051,1
0,150,##der,11304,offender,0.866136,1
0,151,.,119,.,0.473379,1
0,152,A,138,A,0.002777,0
0,153,summary,70585,summary,0.695829,1
0,154,for,10142,for,0.496765,1
0,155,a,169,a,0.004749,0
0,156,complicated,104904,complicated,0.876815,1
0,157,admission,84153,admission,0.923530,1
0,158,can,10944,can,0.170215,0
0,159,take,13574,take,0.213497,0
0,160,forty,63563,forty,0.974343,1
0,161,minutes,15304,minutes,0.981139,1
0,162,",",117,",",0.018482,1
0,163,and,10111,and,0.001727,0
0,164,I,146,I,0.029598,0
0,165,usually,15910,usually,0.147952,0
0,166,write,28685,write,0.502385,1
0,167,them,11345,them,0.022200,0
0,168,after,10662,after,0.888109,1
0,169,the,10105,the,0.002475,0
0,170,last,12469,last,0.923049,1
0,171,c,171,clinic,0.956479,1
0,172,##lini,27542,clinic,0.959164,1
0,173,##c,10350,clinic,0.955317,1
0,174,",",117,",",0.068741,1
0,175,when,10841,when,0.171228,0
0,176,I,146,I,0.014479,0
0,177,',112,',0.022962,0
0,178,m,181,m,0.024514,0
0,179,tire,71841,tired,0.700382,1
0,180,##d,10162,tired,0.725922,1
0,181,and,10111,and,0.012283,0
0,182,most,10992,most,0.068042,0
0,183,likely,22497,likely,0.586373,1
