chunk,position,token,token_id,word,p_keep,kept
0,0,[CLS],101,,0.000989,
0,1,Maria,11066,Maria,0.927855,1
0,2,:,131,:,0.392632,1
0,3,Ok,84591,Okay,0.194193,0
0,4,##ay,13998,Okay,0.109528,0
0,5,",",117,",",0.019684,1
0,6,let,13595,let,0.062563,0
0,7,',112,',0.051715,0
0,8,s,187,s,0.058924,0
0,9,get,15329,get,0.287685,1
0,10,started,13457,started,0.651950,1
0,11,.,119,.,0.117445,1
0,12,Thank,91327,Thanks,0.680517,1
0,13,##s,10107,Thanks,0.720888,1
0,14,",",117,",",0.058728,1
0,15,everyone,48628,everyone,0.080871,0
0,16,",",117,",",0.009947,0
0,17,for,10142,for,0.518277,1
0,18,joining,36135,joining,0.840260,1
0,19,the,10105,the,0.000847,0
0,20,weekly,33159,weekly,0.950773,1
0,21,planning,30240,planning,0.880297,1
0,22,meeting,19822,meeting,0.953782,1
0,23,for,10142,for,0.239416,1
0,24,the,10105,the,0.000325,0
0,25,Riverside,60934,Riverside,0.997900,1
0,26,library,23187,library,0.997572,1
0,27,renovation,95881,renovation,0.975643,1
0,28,.,119,.,0.399202,1
0,29,We,12865,We,0.008945,0
0,30,have,10529,have,0.010467,0
0,31,",",117,",",0.012365,1
0,32,um,10293,um,0.000435,0
0,33,",",117,",",0.002006,0
0,34,quite,31324,quite,0.007789,0
0,35,a,169,a,0.237396,1
0,36,lot,19826,lot,0.301750,1
0,37,on,10135,on,0.569161,1
0,38,the,10105,the,0.014281,0
0,39,agenda,70231,agenda,0.897636,1
0,40,today,18745,today,0.732276,1
0,41,",",117,",",0.010054,1
0,42,so,10380,so,0.000204,0
0,43,I,146,I,0.001114,0
0,44,',112,',0.001863,0
0,45,d,172,d,0.001946,0
0,46,like,11850,like,0.013438,0
0,47,to,10114,to,0.057597,0
0,48,keep,23819,keep,0.764902,1
0,49,each,11948,each,0.727756,1
0,50,item,48438,item,0.761149,1
0,51,to,10114,to,0.449999,1
0,52,about,10978,about,0.091249,0
0,53,ten,11769,ten,0.992397,1
0,54,minutes,15304,minutes,0.989435,1
0,55,if,12277,if,0.004723,0
0,56,we,11951,we,0.000688,0
0,57,can,10944,can,0.002686,0
0,58,.,119,.,0.033614,1
0,59,First,12128,First,0.189435,1
0,60,we,11951,we,0.002113,0
0,61,',112,',0.005727,0
0,62,ll,22469,ll,0.010225,0
0,63,go,11783,go,0.187716,1
0,64,over,10491,over,0.438122,1
0,65,the,10105,the,0.000321,0
0,66,budget,25293,budget,0.994217,1
0,67,update,35896,update,0.893244,1
0,68,",",117,",",0.010265,1
0,69,then,11059,then,0.025269,0
0,70,the,10105,the,0.000185,0
0,71,construction,13407,construction,0.998151,1
0,72,schedule,52561,schedule,0.931954,1
0,73,",",117,",",0.012506,1
0,74,then,11059,then,0.014428,0
0,75,the,10105,the,0.000135,0
0,76,community,13354,community,0.991396,1
0,77,feedback,91195,feedback,0.990373,1
0,78,from,10188,from,0.225702,1
0,79,last,12469,last,0.796231,1
0,80,Tuesday,70245,Tuesday,0.794832,1
0,81,',112,',0.320487,1
0,82,s,187,s,0.390386,1
