chunk,position,token,token_id,word,p_keep,kept
0,0,[CLS],101,,0.001223,
0,1,主,2111,主,0.842705,1
0,2,持,4097,持,0.827097,1
0,3,人,2179,人,0.787204,1
0,4,：,10078,：,0.334854,1
0,5,好,3240,好,0.476370,0
0,6,，,10064,，,0.120080,0
0,7,我,3976,我,0.103580,0
0,8,們,2335,們,0.094574,0
0,9,開,8133,開,0.742794,1
0,10,始,3268,始,0.765463,1
0,11,吧,2790,吧,0.585767,1
0,12,。,1882,。,0.208793,1
0,13,謝,7268,謝,0.433444,0
0,14,謝,7268,謝,0.446331,0
0,15,大,3197,大,0.073150,0
0,16,家,3408,家,0.048093,0
0,17,參,2727,參,0.713210,1
0,18,加,2598,加,0.737759,1
0,19,這,7734,這,0.044373,0
0,20,次,4773,次,0.026106,0
0,21,的,5718,的,0.010282,0
0,22,產,5601,產,0.992561,1
0,23,品,2854,品,0.995378,1
0,24,規,7144,規,0.996568,1
0,25,劃,2588,劃,0.997002,1
0,26,會,4459,會,0.991354,1
0,27,議,7285,議,0.989010,1
0,28,。,1882,。,0.551618,1
0,29,今,2187,今,0.343311,0
0,30,天,3198,天,0.094185,0
0,31,的,5718,的,0.053166,0
0,32,議,7285,議,0.960827,1
0,33,程,5969,程,0.955936,1
0,34,有,4461,有,0.236187,0
0,35,三,2077,三,0.962746,1
0,36,個,2333,個,0.671276,1
0,37,部,7831,部,0.884273,1
0,38,分,2534,分,0.921938,1
0,39,，,10064,，,0.054330,1
0,40,第,6063,第,0.095065,0
0,41,一,2072,一,0.663521,1
0,42,是,4380,是,0.054739,0
0,43,上,2078,上,0.788465,1
0,44,個,2333,個,0.797168,1
0,45,月,4460,月,0.886358,1
0,46,的,5718,的,0.057839,0
0,47,使,2275,使,0.730083,1
0,48,用,5605,用,0.723050,1
0,49,者,6457,者,0.888615,1
0,50,回,2999,回,0.983146,1
0,51,饋,8482,饋,0.985390,1
0,52,，,10064,，,0.076623,1
0,53,第,6063,第,0.044123,0
0,54,二,2150,二,0.491131,1
0,55,是,4380,是,0.032255,0
0,56,新,4333,新,0.978056,1
0,57,版,5396,版,0.867276,1
0,58,本,4476,本,0.915657,1
0,59,的,5718,的,0.079652,0
0,60,開,8133,開,0.993440,1
0,61,發,5714,發,0.993475,1
0,62,進,7745,進,0.937079,1
0,63,度,3670,度,0.971608,1
0,64,，,10064,，,0.060435,1
0,65,第,6063,第,0.039543,0
0,66,三,2077,三,0.585982,1
0,67,是,4380,是,0.029394,0
0,68,下,2079,下,0.955275,1
0,69,一,2072,一,0.872697,1
0,70,季,3363,季,0.949567,1
0,71,的,5718,的,0.101158,0
0,72,行,7069,行,0.996433,1
0,73,銷,7959,銷,0.996546,1
0,74,預,8380,預,0.997232,1
0,75,算,6097,算,0.996615,1
0,76,。,1882,。,0.337989,1
0,77,每,4836,每,0.497342,1
0,78,個,2333,個,0.085713,0
0,79,議,7285,議,0.766543,1
0,80,題,8398,題,0.784044,1
0,81,大,3197,大,0.012399,0
0,82,概,4679,概,0.011471,0
0,83,討,7173,討,0.814049,1
0,84,論,7243,論,0.862299,1
0,85,十,2666,十,0.953786,1
0,86,五,2155,五,0.973177,1
0,87,分,2534,分,0.974375,1
0,88,鐘,8022,鐘,0.978228,1
0,89,，,10064,，,0.092023,1
0,90,請,7238,請,0.031777,0
0,91,大,3197,大,0.015380,0
0,92,家,3408,家,0.017254,0
0,93,盡,5750,盡,0.029816,0
0,94,量,7909,量,0.028219,0
0,95,把,4033,把,0.788301,1
0,96,握,4186,握,0.739048,1
0,97,時,4388,時,0.853205,1
0,98,間,8137,間,0.837829,1
0,99,。,1882,。,0.616254,1
0,100,[NEW0],119547,"
",0.787758,1
0,101,佳,2271,佳,0.722848,1
0,102,慧,3930,慧,0.704269,1
0,103,：,10078,：,0.300361,1
0,104,我,3976,我,0.034747,0
0,105,先,2431,先,0.089908,0
0,106,報,3115,報,0.888858,1
0,107,告,2810,告,0.902858,1
0,108,使,2275,使,0.537975,1
0,109,用,5605,用,0.606097,1
0,110,者,6457,者,0.778234,1
0,111,回,2999,回,0.960045,1
0,112,饋,8482,饋,0.960208,1
0,113,。,1882,。,0.237531,1
0,114,上,2078,上,0.697152,1
0,115,個,2333,個,0.721810,1
0,116,月,4460,月,0.739625,1
