chunk,position,token,token_id,word,p_keep,kept
0,0,[CLS],101,,0.000693,
0,1,Kevin,15377,Kevin,0.930452,1
0,2,：,10078,：,0.349474,1
0,3,大,3197,大,0.114938,0
0,4,家,3408,家,0.217806,1
0,5,好,3240,好,0.457611,1
0,6,，,10064,，,0.092174,1
0,7,今,2187,今,0.253861,1
0,8,天,3198,天,0.164795,0
0,9,我,3976,我,0.008626,0
0,10,們,2335,們,0.009064,0
0,11,要,7139,要,0.069004,0
0,12,討,7173,討,0.939916,1
0,13,論,7243,論,0.954386,1
0,14,c,171,csv,0.997418,1
0,15,##s,10107,csv,0.998348,1
0,16,##v,10477,csv,0.999128,1
0,17,-,118,-,0.997773,1
0,18,lingua,17836,lingua,0.999084,1
0,19,這,7734,這,0.024925,0
0,20,個,2333,個,0.013846,0
0,21,project,13920,project,0.817059,1
0,22,的,5718,的,0.176635,0
0,23,release,14072,release,0.982882,1
0,24,plan,13065,plan,0.982339,1
0,25,。,1882,。,0.879553,1
0,26,First,12128,First,0.052820,0
0,27,",",117,",",0.008249,0
0,28,let,13595,let,0.020240,0
0,29,me,10911,me,0.021990,0
0,30,quickly,23590,quickly,0.045515,0
0,31,reca,103778,recap,0.925049,1
0,32,##p,10410,recap,0.934372,1
0,33,what,12976,what,0.003100,0
0,34,the,10105,the,0.002765,0
0,35,tool,53276,tool,0.931297,1
0,36,does,15107,does,0.044107,0
0,37,:,131,:,0.132759,0
0,38,it,10271,it,0.019640,0
0,39,com,10212,compresses,0.993038,1
0,40,##press,43379,compresses,0.993495,1
0,41,##es,10171,compresses,0.991252,1
0,42,long,11695,long,0.509672,1
0,43,pro,11284,prompts,0.997544,1
0,44,##mpt,109361,prompts,0.998223,1
0,45,##s,10107,prompts,0.998517,1
0,46,before,11360,before,0.914710,1
0,47,we,11951,we,0.004751,0
0,48,send,45567,send,0.612936,1
0,49,them,11345,them,0.010562,0
0,50,to,10114,to,0.562539,1
0,51,an,10151,an,0.007620,0
0,52,LL,29681,LLM,0.962484,1
0,53,##M,11517,LLM,0.954498,1
0,54,",",117,",",0.005505,1
0,55,so,10380,so,0.003120,0
0,56,we,11951,we,0.004694,0
0,57,save,32635,save,0.983514,1
0,58,tok,18436,tokens,0.994928,1
0,59,##ens,12457,tokens,0.994743,1
0,60,and,10111,and,0.043508,0
0,61,money,17920,money,0.949591,1
0,62,.,119,.,0.330091,1
0,63,[NEW0],119547,"
",0.640593,1
0,64,Amy,23149,Amy,0.786274,1
0,65,：,10078,：,0.250480,1
0,66,對,3457,對,0.166607,0
0,67,，,10064,，,0.021049,0
0,68,我,3976,我,0.021738,0
0,69,上,2078,上,0.192658,0
0,70,週,7744,週,0.324594,1
0,71,用,5605,用,0.308337,1
0,72,我,3976,我,0.005402,0
0,73,們,2335,們,0.007381,0
0,74,的,5718,的,0.041729,0
0,75,meeting,19822,meeting,0.932554,1
0,76,notes,19899,notes,0.947066,1
0,77,測,5084,測,0.698255,1
0,78,試,7201,試,0.728355,1
0,79,過,7758,過,0.069116,0
0,80,，,10064,，,0.018975,1
0,81,大,3197,大,0.005631,0
0,82,概,4679,概,0.009428,0
0,83,可,2756,可,0.060887,0
0,84,以,2204,以,0.076140,0
0,85,減,5075,減,0.981484,1
0,86,少,3460,少,0.968641,1
0,87,40,10533,40,0.999059,1
0,88,%,110,%,0.998371,1
0,89,的,5718,的,0.282267,1
0,90,tok,18436,tokens,0.998609,1
0,91,##ens,12457,tokens,0.998330,1
0,92,，,10064,，,0.023739,1
0,93,而,6459,而,0.012193,0
0,94,且,2085,且,0.004709,0
0,95,重,7907,重,0.496963,1
0,96,點,8809,點,0.537614,1
0,97,大,3197,大,0.064943,0
0,98,部,7831,部,0.204508,0
0,99,分,2534,分,0.206790,0
0,100,都,7838,都,0.077794,0
