chunk,position,token,token_id,word,p_keep,kept
0,0,[CLS],101,,0.000393,
0,1,John,10421,John,0.980725,1
0,2,:,131,:,0.364606,1
0,3,So,12882,So,0.032615,0
0,4,",",117,",",0.016337,1
0,5,um,10293,um,0.015478,0
0,6,",",117,",",0.007450,0
0,7,I,146,I,0.008400,0
0,8,',112,',0.035485,1
0,9,ve,10323,ve,0.028666,0
0,10,been,10590,been,0.131349,1
0,11,thinking,56294,thinking,0.868987,1
0,12,about,10978,about,0.555780,1
0,13,the,10105,the,0.006921,0
0,14,project,13920,project,0.987431,1
0,15,",",117,",",0.025825,1
0,16,you,13028,you,0.000933,0
0,17,know,21852,know,0.002773,0
0,18,",",117,",",0.013435,0
0,19,and,10111,and,0.001476,0
0,20,I,146,I,0.005018,0
0,21,believe,30587,believe,0.413332,1
0,22,we,11951,we,0.098717,1
0,23,need,17367,need,0.935612,1
0,24,to,10114,to,0.354755,1
0,25,",",117,",",0.008521,1
0,26,u,189,uh,0.000412,0
0,27,##h,10237,uh,0.000787,0
0,28,",",117,",",0.002273,0
0,29,make,13086,make,0.758780,1
0,30,some,11152,some,0.011953,0
0,31,changes,19010,changes,0.980232,1
0,32,.,119,.,0.947948,1
0,33,I,146,I,0.002134,0
0,34,mean,36110,mean,0.001678,0
0,35,",",117,",",0.002983,1
0,36,we,11951,we,0.003335,0
0,37,want,21528,want,0.930158,1
0,38,the,10105,the,0.003413,0
0,39,project,13920,project,0.979825,1
0,40,to,10114,to,0.387093,1
0,41,succeed,94615,succeed,0.979655,1
0,42,",",117,",",0.034925,1
0,43,right,13448,right,0.091682,1
0,44,?,136,?,0.159405,1
0,45,So,12882,So,0.001121,0
0,46,",",117,",",0.004479,1
0,47,like,11850,like,0.030646,0
0,48,",",117,",",0.008283,0
0,49,I,146,I,0.001045,0
0,50,think,27874,think,0.026457,0
0,51,we,11951,we,0.004221,0
0,52,should,14819,should,0.056329,1
0,53,consider,44856,consider,0.923315,1
0,54,may,11387,maybe,0.014477,0
0,55,##be,11044,maybe,0.040403,0
0,56,rev,86095,revising,0.981881,1
0,57,##ising,53624,revising,0.979608,1
0,58,the,10105,the,0.002010,0
0,59,time,10635,timeline,0.998891,1
0,60,##line,12953,timeline,0.998626,1
0,61,.,119,.,0.245209,1
0,62,[NEW0],119547,"
",0.634332,1
0,63,Sarah,16548,Sarah,0.851459,1
0,64,:,131,:,0.257740,1
0,65,I,146,I,0.003283,0
0,66,totally,110240,totally,0.005390,0
0,67,agree,68312,agree,0.982441,1
0,68,",",117,",",0.430209,1
0,69,John,10421,John,0.818963,1
0,70,.,119,.,0.119137,1
0,71,I,146,I,0.001590,0
0,72,mean,36110,mean,0.001076,0
0,73,",",117,",",0.002161,1
0,74,we,11951,we,0.004623,0
0,75,have,10529,have,0.038955,1
0,76,to,10114,to,0.075188,1
0,77,be,10347,be,0.452585,1
0,78,real,13486,realistic,0.991805,1
0,79,##istic,29025,realistic,0.983809,1
0,80,",",117,",",0.022061,1
0,81,you,13028,you,0.000621,0
0,82,know,21852,know,0.001979,0
0,83,.,119,.,0.055218,1
0,84,The,10117,The,0.001572,0
0,85,time,10635,timeline,0.983661,1
0,86,##line,12953,timeline,0.986169,1
0,87,is,10124,is,0.085763,1
0,88,",",117,",",0.008787,1
0,89,like,11850,like,0.029165,0
0,90,",",117,",",0.007206,0
0,91,too,16683,too,0.730442,1
0,92,tight,85202,tight,0.989441,1
0,93,.,119,.,0.180763,1
0,94,You,11065,You,0.001579,0
0,95,know,21852,know,0.020871,0
0,96,what,12976,what,0.016038,0
0,97,I,146,I,0.007182,0
0,98,mean,36110,mean,0.016047,0
0,99,?,136,?,0.078669,1
0,100,We,12865,We,0.002712,0
0,101,should,14819,should,0.119952,1
0,102,def,100745,definitely,0.007883,0
0,103,##inite,100240,definitely,0.005217,0
0,104,##ly,10454,definitely,0.010389,0
0,105,extend,62504,extend,0.995097,1
0,106,it,10271,it,0.292428,1
0,107,.,119,.,0.939669,1
0,108,[NEW0],119547,"
",0.000837,1
0,109,[SEP],102,,0.897961,
