id,token,special
0,[PAD],1
1,[unused1],0
2,[unused2],0
3,[unused3],0
4,[unused4],0
5,[unused5],0
6,[unused6],0
7,[unused7],0
8,[unused8],0
9,[unused9],0
10,[unused10],0
11,[unused11],0
12,[unused12],0
13,[unused13],0
14,[unused14],0
15,[unused15],0
16,[unused16],0
17,[unused17],0
18,[unused18],0
19,[unused19],0
20,[unused20],0
21,[unused21],0
22,[unused22],0
23,[unused23],0
24,[unused24],0
25,[unused25],0
26,[unused26],0
27,[unused27],0
28,[unused28],0
29,[unused29],0
30,[unused30],0
31,[unused31],0
32,[unused32],0
33,[unused33],0
34,[unused34],0
35,[unused35],0
36,[unused36],0
37,[unused37],0
38,[unused38],0
39,[unused39],0
40,[unused40],0
41,[unused41],0
42,[unused42],0
43,[unused43],0
44,[unused44],0
45,[unused45],0
46,[unused46],0
47,[unused47],0
48,[unused48],0
49,[unused49],0
50,[unused50],0
51,[unused51],0
52,[unused52],0
53,[unused53],0
54,[unused54],0
55,[unused55],0
56,[unused56],0
57,[unused57],0
58,[unused58],0
59,[unused59],0
60,[unused60],0
61,[unused61],0
62,[unused62],0
63,[unused63],0
64,[unused64],0
65,[unused65],0
66,[unused66],0
67,[unused67],0
68,[unused68],0
69,[unused69],0
70,[unused70],0
71,[unused71],0
72,[unused72],0
73,[unused73],0
74,[unused74],0
75,[unused75],0
76,[unused76],0
77,[unused77],0
78,[unused78],0
79,[unused79],0
80,[unused80],0
81,[unused81],0
82,[unused82],0
83,[unused83],0
84,[unused84],0
85,[unused85],0
86,[unused86],0
87,[unused87],0
88,[unused88],0
89,[unused89],0
90,[unused90],0
91,[unused91],0
92,[unused92],0
93,[unused93],0
94,[unused94],0
95,[unused95],0
96,[unused96],0
97,[unused97],0
98,[unused98],0
99,[unused99],0
100,[UNK],1
101,[CLS],1
102,[SEP],1
103,[MASK],1
104,<S>,0
105,<T>,0
106,!,0
107,"""",0
108,#,0
109,$,0
110,%,0
111,&,0
112,',0
113,(,0
114,),0
115,*,0
116,+,0
117,",",0
118,-,0
119,.,0
120,/,0
121,0,0
122,1,0
123,2,0
124,3,0
125,4,0
126,5,0
127,6,0
128,7,0
129,8,0
130,9,0
131,:,0
132,;,0
133,<,0
134,=,0
135,>,0
136,?,0
137,@,0
138,A,0
139,B,0
140,C,0
141,D,0
142,E,0
143,F,0
144,G,0
145,H,0
146,I,0
147,J,0
148,K,0
149,L,0
150,M,0
151,N,0
152,O,0
153,P,0
154,Q,0
155,R,0
156,S,0
157,T,0
158,U,0
159,V,0
160,W,0
161,X,0
162,Y,0
163,Z,0
164,[,0
165,\,0
166,],0
167,^,0
168,_,0
169,a,0
170,b,0
171,c,0
172,d,0
173,e,0
174,f,0
175,g,0
176,h,0
177,i,0
178,j,0
179,k,0
180,l,0
181,m,0
182,n,0
183,o,0
184,p,0
185,q,0
186,r,0
187,s,0
188,t,0
189,u,0
190,v,0
191,w,0
192,x,0
193,y,0
194,z,0
195,{,0
196,|,0
197,},0
198,~,0
199,¡,0
200,¢,0
201,£,0
202,¥,0
203,¦,0
204,§,0
205,¨,0
206,©,0
207,ª,0
208,«,0
209,¬,0
210,®,0
211,°,0
212,±,0
213,²,0
214,³,0
215,µ,0
216,¶,0
217,·,0
218,¹,0
219,º,0
220,»,0
221,¼,0
222,½,0
223,¾,0
224,¿,0
225,À,0
226,Á,0
227,Â,0
228,Ã,0
229,Ä,0
230,Å,0
231,Æ,0
232,Ç,0
233,È,0
234,É,0
235,Ê,0
236,Ë,0
237,Ì,0
238,Í,0
239,Î,0
240,Ð,0
241,Ñ,0
242,Ò,0
243,Ó,0
244,Ô,0
245,Õ,0
246,Ö,0
247,×,0
248,Ø,0
249,Ú,0
250,Ü,0
251,Ý,0
252,Þ,0
253,ß,0
254,à,0
255,á,0
256,â,0
257,ã,0
258,ä,0
259,å,0
260,æ,0
261,ç,0
262,è,0
263,é,0
264,ê,0
265,ë,0
266,ì,0
267,í,0
268,î,0
269,ï,0
270,ð,0
271,ñ,0
272,ò,0
273,ó,0
274,ô,0
275,õ,0
276,ö,0
277,÷,0
278,ø,0
279,ù,0
280,ú,0
281,û,0
282,ü,0
283,ý,0
284,þ,0
285,ÿ,0
286,Ā,0
287,ā,0
288,Ă,0
289,ă,0
290,Ą,0
291,ą,0
292,Ć,0
293,ć,0
294,Č,0
295,č,0
296,Ď,0
297,ď,0
298,Đ,0
299,đ,0
300,Ē,0
301,ē,0
302,Ĕ,0
303,ĕ,0
304,Ė,0
305,ė,0
306,ę,0
307,ě,0
308,Ğ,0
309,ğ,0
310,ġ,0
311,Ģ,0
312,ģ,0
313,Ħ,0
314,ħ,0
315,ĩ,0
316,Ī,0
317,ī,0
318,Į,0
319,į,0
320,İ,0
321,ı,0
322,Ķ,0
323,ķ,0
324,ĺ,0
325,Ļ,0
326,ļ,0
327,Ľ,0
328,ľ,0
329,Ł,0
330,ł,0
331,ń,0
332,Ņ,0
333,ņ,0
334,ň,0
